id,lekwungen_word
613,kʷəskʷáw
614,kʷəstéw̓əč
615,kʷəx̣ʷnəkʷəls
616,kʷəńsənéɬ
617,kʷə́ləŋ
618,kʷə́ləsət
619,kʷə́l̓əsət
620,kʷə́nəs
621,kʷə́nəs
622,kʷə́nət
623,kʷə́nəxʷ
624,kʷə́n̓təl̓
625,kʷə́ŋəsəs
626,k̓ʷes
627,k̓ʷəw̓yəkʷ
628,k̓ʷic̓
629,k̓ʷik̓ʷawəɬ
630,k̓ʷik̓ʷəw̓yəwkʷ
631,k̓ʷsəč
632,k̓ʷsəŋ
633,k̓ʷsət
634,k̓ʷsə́nəq
635,k̓ʷáləxʷ
636,k̓ʷámk̓ʷəm̓
637,k̓ʷánət̓
638,k̓ʷéʔləs
639,k̓ʷék̓ʷey̓
640,k̓ʷéləs sqʷəqʷə́lʔ
641,k̓ʷéɬəl
642,k̓ʷéssət
643,k̓ʷét̓ən
644,k̓ʷíʔšətəŋ
645,k̓ʷíʔwəc̓; k̓ʷiʔəwəʔəc̓
646,k̓ʷíc̓ət
647,k̓ʷíc̓ətəs
648,k̓ʷíkʷəɬ
649,k̓ʷík̓ʷən
650,k̓ʷíɬəw̓
651,k̓ʷəʔičən
652,k̓ʷəc̓áyč
653,k̓ʷək̓ʷét̓ən
654,k̓ʷəléɬəl
655,k̓ʷəlíʔt̓šnʔ
656,k̓ʷəlíw
657,k̓ʷənʔ
658,k̓ʷənʔk̓ʷə́nt
659,k̓ʷənʔsk̓ʷənʔsat
660,k̓ʷənaŋə
661,k̓ʷəna̓ŋəs
662,k̓ʷəneɬ
663,k̓ʷənstxʷ
664,k̓ʷənsínəŋ
665,k̓ʷəntís
666,k̓ʷənáŋət
667,k̓ʷənéləʔ
668,k̓ʷənəsčí
669,k̓ʷənəsəŋ
670,k̓ʷən̓sát
671,k̓ʷən̓tíŋ'
672,k̓ʷən̓ət
673,k̓ʷəstsxʷ
674,k̓ʷəwʔyəwk̓ʷ
675,k̓ʷəwʔə́ywkʷ
676,k̓ʷəx̣c̓ək̓ʷeɬpč (?)
677,k̓ʷə́ləw̓
678,k̓ʷə́ləw̓ ʔəƛ̓ smáyəs
679,k̓ʷə́nələ
680,k̓ʷə́nəɬ
681,k̓ʷə́nəs
682,k̓ʷə́nəxʷ
683,k̓ʷə́n̓sk̓ʷən̓
684,k̓ʷə́n̓təŋ
685,k̓ʷə́n̓əɬ
686,k̓ʷə́n̓ət
687,k̓ʷə́ŋət
688,k̓ʷə́stəŋ
689,k̓ʷə́stəŋ
690,k̓ʷə́tšən
691,k̓ʷə́wk̓ʷət
692,k̓ʷə́w̓yəwkʷ
693,k̓ʷə́xʷəlʔməxʷ
694,laƛ̓
695,leʔ
696,leʔ ʔə cə léʔə
697,leʔə tə́w̓lə
698,lelúut
699,lem
700,lepláš
701,let̓
702,lil̓
703,lisék
704,liyám
705,láʔsən
706,léʔeƛ̓
707,léʔnəŋ
708,léʔnəxʷ
709,léʔsət
710,léʔə
711,léʔə təw̓lə
712,léʔəl
713,léʔət
714,líiməs
715,líləʔ
716,líl̓əŋ
717,ləkʷə́x̣
718,lək̓ʷáŋən
719,ləláʔsən
720,ləléʔnəŋ
721,ləléʔnəŋ
722,ləléʔnəŋ
723,ləléʔn̓əŋ'
724,ləlíʔləŋ
725,lələŋsat
726,ləméʔtəlxʷ
727,ləmətúu
728,ləŋʔsát
729,ləpat
730,ləpláš
731,ləpəlít
732,ləšál
733,lətém
734,ləx̣ʷənə
735,ləkəli
736,ləkəwín
737,lə́ləč̓
738,ɬʔéyətəs
739,ɬc̓éqʷt
740,ɬc̓íŋən
741,ɬc̓ísət
742,ɬc̓ísətsən
743,ɬc̓ísətəŋ
744,ɬc̓ítəŋ
745,ɬc̓ítəŋsən
746,ɬčíkʷəs
747,ɬčəx̣
748,ɬeʔe
749,ɬeč
750,ɬeel
751,ɬeq̓ət
752,ɬew̓
753,ɬew̓
754,ɬiʔe
755,ɬic̓
756,ɬic̓
757,ɬic̓ət
758,ɬik̓ʷ
759,ɬil
760,ɬil
761,ɬiltxʷ
762,ɬixʷ
763,ɬixʷelə
764,ɬixʷs néč̓əw̓əč̓̌ - ɬixʷele
765,ɬixʷélə ʔə tə nəc̓exʷ
766,ɬixʷələč
767,ɬkʷáʔwəs
768,ɬléɬlayakʷ
769,ɬmeʔénš
770,ɬniŋəɬ
771,ɬníŋəɬ
772,ɬŋéʔəŋ'
773,ɬqit
774,ɬqn̓ʔétn
775,ɬqít
776,ɬq̓it
777,ɬq̓its
778,ɬq̓éčəs
779,ɬq̓əčsélətxʷ
780,ɬq̓əčəɬšeʔ ʔiʔ kʷ c̓akʷəs
781,ɬq̓əčəɬšeʔ ʔiʔ kʷ čəsə
782,ɬq̓əčəɬšeʔ ʔiʔ kʷ ɬixʷ
783,ɬq̓əčəɬšeʔ ʔiʔ kʷ ɬq̓ečəs
784,ɬq̓əčəɬšeʔ ʔiʔ kʷ nəc̓ə
785,ɬq̓əčəɬšeʔ ʔiʔ kʷ ŋəs
786,ɬq̓əčəɬšeʔ ʔiʔ kʷ teʔsəs
787,ɬq̓əčəɬšeʔ ʔiʔ kʷ təkʷəwxʷ
788,ɬq̓əčəɬšeʔ ʔiʔ kʷ t̓xəŋ
789,ɬq̓əčəɬšéʔ
790,ɬq̓ət
791,ɬq̓ʷast
792,ɬq̓ʷálnəs
793,ɬq̓ʷátəŋ
794,ɬq̓ʷənkʷéstəŋ
795,ɬq̓ʷət
796,ɬtəw̓
797,ɬti
798,ɬtə
799,ɬtə́x̣təŋ
800,ɬxʷelətxʷ
801,ɬxʷeɬ
802,ɬx̣ən̓ákʷən
803,ɬx̣ʷélə ʔə tə nəc̓éxʷ
804,ɬáləŋ
805,ɬáləs
806,ɬáɬəq̓ʷ
807,ɬáq̓ʷsət
808,ɬáq̓ʷəŋ
809,ɬáq̓ʷət
810,ɬáq̓ʷətəŋ
811,ɬéləs (?)
812,ɬéw̓qəm̓
813,ɬíc̓nəs
814,ɬíc̓ət
815,ɬík̓ʷn̓
816,ɬíɬəl
817,ɬíŋəs
818,ɬíŋəst
819,ɬíŋəstxʷ
820,ɬíx̣ʷəm
821,ɬíx̣ʷəŋ
822,ɬəc̓
823,ɬəc̓tn̓
824,ɬəc̓ət
825,ɬəč̓élʔs
826,ɬəkʷetəŋ
827,ɬəkʷéʔnəq
828,ɬəkʷél̓s
829,ɬəlpəléx̣ən
830,ɬəlíc̓ən
831,ɬəlíc̓əŋ
832,ɬələɬéq̓ət
833,ɬəl̓áx̣ʷtiŋ
834,ɬəɬeʔl
835,ɬəɬéʔkʷ
836,ɬəɬéʔkʷtxʷ
837,ɬəmɬə́mləc̓
838,ɬəmxʷə́ysən
839,ɬəməxʷaʔwəqʷ
840,ɬəm̓éq̓əʔ
841,ɬənk̓ʷelʔs
842,ɬənk̓ʷt
843,ɬənk̓ʷtəs
844,ɬənk̓ʷə́lə
845,ɬəŋʔístxʷ
846,ɬəŋálacin
847,ɬəŋ̓eʔes cən čənəs
848,ɬəŋ̓és ɬŋ'es
849,ɬəq̓əl̓č̓
850,ɬət̓áq̓ʷəŋ
851,ɬət̓íʔq̓əŋ
852,ɬət̓əmən
853,ɬəxʷəɬšéʔ
854,ɬə́ltən
855,ɬə́ləs
856,ɬə́l̓x̣ʷ (may be ɬəl̓əx̣ʷ)
857,ɬə́l̓x̣ʷtxʷ
858,ɬə́l̓əx̣ʷtəŋ
859,ɬə́mʔc̓əŋ
860,ɬə́məxʷ
861,ɬə́məxʷ
862,ɬə́nk̓ʷəl
863,ɬə́nək̓ʷət
864,ɬə́nək̓ʷətəŋ
865,ɬə́n̓k̓ʷtəxʷ
866,ɬə́ptən
867,ɬə́pəs
868,ɬə́xʷəɬšeʔ ʔiʔ kʷ čəsə
869,ɬə́xʷəɬšeʔ ʔiʔ kʷ ɬixʷ
870,ɬə́xʷəɬšeʔ ʔiʔ kʷ ɬq̓ečəs
871,ɬə́xʷəɬšeʔ ʔiʔ kʷ nəc̓ə
872,ɬə́xʷəɬšeʔ ʔiʔ kʷ ŋəs
873,ɬə́xʷəɬšeʔ ʔiʔ kʷ tesʔəs
874,ɬə́xʷəɬšeʔ ʔiʔ kʷ təkʷəwxʷ
875,ɬə́xʷəɬšeʔ ʔiʔ kʷ t̓xəŋ
876,ɬə́xʷəɬšéʔ ʔiʔ kʷ c̓akʷəs
877,ɬ́c̓ítəs
878,ƛ̓aʔət
879,ƛ̓alnəč čiyə́wən
